Document Id,Similar Count,Hash,Document Type,File Extension,File Size,Character Count,Page Count,Primary Language
7221,4,E2A17301F36ED4AFF56FC844E1A6F66450D43DA0,Email,.msg,124928,1091,2,English
7225,8,2318C283D68ECE98F2309B3B0F29DFE0B1690344,Email,.msg,144384,15185,9,English
7237,4,81766E579487959654C4A8579713A230532C9604,Email,.msg,37888,2497,2,English
7242,1,15EC535301868722711606A69BC2166EA19FE0DC,Email,.msg,110592,5539,4,English
7286,7,6075F27B052764E23D2791AC17E96D076EF633A8,Email,.msg,66048,5919,4,English
7328,1,2B9DBB7D2781A3AD6E7B1DB2D00E42863565D41A,Email,.msg,61440,13527,6,English
7343,4,7056B399CA57E19708FFE93D2E6E5F54314257E3,Email,.msg,1153536,6675,4,English
7354,4,6C8FD9902C5411FC94A8C5D76FC8668ABA1CEF86,Email,.msg,320512,5504,4,English
7382,2,2CFB0C362E657C6D3A9CEA581E17EC396107C93B,Email,.msg,81408,4762,3,English
7390,3,85FF5AF4DA950A7CD2D2F7764581560DDD838B14,Email,.msg,216576,5354,3,English
7440,6,61C90CC623CA1EC03B00211BE7742F4C34035EC1,Email,.msg,250880,6030,3,English
7449,4,93FA7CE61E35306A98DA2668F6DEA727886391BC,Email,.msg,171520,15099,6,English
7484,4,96D1FDAAFD0294EDA569AD6927C0E64A1667058B,Email,.msg,310784,3783,2,English
7493,3,4F15DE3CBFB7FB89EA6945E3F15F194437F3E458,Email,.msg,73216,2456,3,English
7525,4,2E8E14539F51BA66E768B26BF740CD2BA96E7547,Email,.msg,124416,1095,2,English
7550,5,98C97F4B347112C0233A577396FAD6BEDCBDF366,Email,.msg,141312,12030,6,English
7590,1,4FADB0156A5714E00127DB779841CABA8DA155FF,Email,.msg,108032,5983,3,English
7599,3,9C1E1152D1BD2F74FE01E8E80F8CF8BD21F89DD2,Email,.msg,36352,4548,3,English
7667,4,BF94074E38A6AC8A12599ECBC5372C78AF0996D6,Email,.msg,50688,3885,2,English
7677,5,C47DAFFA74B89FEBE1B5521DCDE1069BCA4DB2AC,Email,.msg,175104,15983,6,English
7679,7,C5C35B2F38D2883E639A3DB14D197814CC896DEC,Email,.msg,81408,4647,3,English
7680,1,C62C68CA666CCD3E111A5F9419B556FA54B76B0A,Email,.msg,486912,2121,2,English
